Country,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,32,24,36,40,22,32,46,25,0,0,0,0,0,0,0
Algeria,0,3,0,1,5,1,0,0,0,0,0,0,0,1,2
Angola,5714,7300,5736,6909,8114,10530,9465,9812,10220,13768,12459,38598,14434,9473,9510
Argentina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,45,15,11,36,37,47,154,228,508,501,505,574,598,470,484
Belize,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Benin,1869,2288,2261,1753,964,1375,918,1290,1226,322,944,560,707,468,0
Bhutan,0,0,1,1,2,4,2,2,7,5,7,14,11,14,15
Bolivia(PlurinationalStateof),1,0,0,0,0,0,0,0,0,0,3,1,4,0,11
Botswana,22,7,3,8,8,6,12,6,40,11,19,18,23,29,0
Brazil,36,41,60,70,76,85,68,93,110,123,102,104,95,142,245
BurkinaFaso,5632,6294,7963,7001,9024,7982,7834,6472,8083,5224,4205,4860,4032,4233,0
Burundi,2974,3411,2263,2233,2677,1183,595,167,434,776,689,425,483,417,691
Côted'Ivoire,2069,3261,1534,1389,1023,18156,1249,797,0,0,0,0,0,0,0
CaboVerde,2,0,1,1,1,2,2,2,8,2,4,4,2,0,0
Cambodia,18,12,45,94,151,279,209,241,396,296,382,492,457,476,608
Cameroon,4398,4349,3209,3808,4536,4943,7673,1811,930,836,0,0,0,0,0
CentralAfricanRepublic,635,1026,1442,858,526,667,456,578,865,668,859,417,0,535,439
Chad,1720,1881,1359,1220,886,221,1018,617,837,558,13,1021,98,957,712
China,24,23,14,33,19,10,23,18,37,48,31,52,42,27,31
Colombia,17,10,24,23,42,28,54,68,77,87,126,118,162,168,124
Comoros,0,15,17,19,53,0,47,20,56,92,28,0,0,0,0
Congo,271,2870,623,892,0,116,143,113,0,0,0,0,0,0,0
CostaRica,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DemocraticPeople'sRepublicofKorea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemocraticRepublicoftheCongo,25502,30918,21601,23748,23476,21168,17940,14372,12970,15322,13613,989,2152,416,3856
Djibouti,0,17,0,0,0,0,0,1,29,0,0,0,0,0,0
DominicanRepublic,4,5,8,10,15,14,11,17,10,16,16,12,11,17,6
Ecuador,0,4,1,2,4,6,5,8,9,22,37,46,64,84,66
Egypt,2,3,0,4,2,2,2,0,0,0,0,0,0,0,0
ElSalvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EquatorialGuinea,0,66,77,52,30,23,4,0,0,0,0,0,0,0,0
Eritrea,15,6,30,12,27,23,19,42,47,49,24,79,86,133,0
Ethiopia,213,358,1621,936,1581,1121,1169,991,1357,1086,3327,2138,1607,1681,0
